112,,,,,,,,,Haripur,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
113,,,,,,,,,Karachi West,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
114,,,,,,,,,Islamabad,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
115,,,,,,,,,Tank,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
116,,,,,,,,,Lahore,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
117,,,,,,,,,Karak,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
118,,,,,,,,,Khyber Agency,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
119,,,,,,,,,Jhal Magsi,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
120,,,,,,,,,Quetta,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
121,,,,,,,,,Karachi East,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
122,,,,,,,,,Korangi,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
123,,,,,,,,,Kalat,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
124,,,,,,,,,Ghanche,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
125,,,,,,,,,Kharmang,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
126,,,,,,,,,Kurram Agency,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
127,,,,,,,,,Kharan,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
128,,,,,,,,,Sudhnoti,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
129,,,,,,,,,Khuzdar,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
130,,,,,,,,,Killa Saifullah,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
131,,,,,,,,,South Waziristan Agency,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
132,,,,,,,,,Mohmand Agency,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
133,,,,,,,,,Nushki,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
134,,,,,,,,,North Waziristan Agency,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
135,,,,,,,,,Orakzai Agency,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
136,,,,,,,,,Astore,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
137,,,,,,,,,Shigar,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
138,,,,,,,,,Sibi,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
139,,,,,,,,,Baltistan,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
140,,,,,,,,,Dera Bugti,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
141,,,,,,,,,Ziarat,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
142,,,,,,,,,Kech,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
143,,,,,,,,,Panjgur,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
144,,,,,,,,,Zhob,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
145,,,,,,,,,Musakhel,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
