Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_1_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01,GigabitEthernet2/0/2,M2B-KHI-BRQ2-HRT-01,GigabitEthernet2/0/2,30 G,2,2,10G,Protection,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_2_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01, Gig16/0/4,M2B-KHI-BRQ2-HRT-01,Gig4/0/2,30 G,2,2,10G,Working,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_2_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01, Gig16/0/4,M2B-KHI-BRQ2-HRT-01,Gig4/0/2,30 G,2,2,10G,Protection,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center B,Multan,MSC0001,30.1907,71.4506,Multan_KarachiB_3_1_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-MLT-REX-HRT-01,GigabitEthernet2/0/4,M2B-KHI-BRQ1-HRT-01,GigabitEthernet2/0/4,160 G,4,4,10G,Working,Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-Berq
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_3_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01, Gig16/0/6,M2B-KHI-BRQ2-HRT-01, Gig4/0/5,30 G,2,2,10G,Working,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_3_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01, Gig16/0/6,M2B-KHI-BRQ2-HRT-01, Gig4/0/5,30 G,2,2,10G,Protection,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_1_1_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,GigabitEthernet2/0/3,M2B-MLT-REX-HRT-01,GigabitEthernet2/0/3,240 G,3,3,10G,Working,MC-Pattoki-Okara-Sahiwal-Arifwala-Bhawalnagar-Hasilpur-Bhawalpur-Lodhran-Multan
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_1_2_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,GigabitEthernet6/0/1,M2B-MLT-REX-HRT-01,GigabitEthernet7/0/4,240 G,3,3,10G,Working,MC-Pattoki-Okara-Sahiwal-Arifwala-Bhawalnagar-Hasilpur-Bhawalpur-Lodhran-Multan
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_2_1_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,GigabitEthernet6/0/3,M2B-MLT-REX-HRT-01,GigabitEthernet5/0/1,240 G,3,3,10G,Working,MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Vehari-Chichawatni-Khanewal-Warid MSC-Multan
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_1_3_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,Gig4/0/4,M2B-MLT-REX-HRT-01,Gig4/0/7,240 G,3,3,10G,Working,MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Multan
